probe,model_pair,jaccard,model_a_top5,model_b_top5
compute,llama-3.2-1B vs gpt-oss-120b,1.0000,"[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]","[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]"
compute,llama-3.2-1B vs smollm2-135M,0.6000,"[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]","[""compute"", ""computer"", ""comput"", ""computers"", ""compute""]"
compute,qwen3-32B vs gemma-3-1B-pt,0.8000,"[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]","[""compute"", ""computed"", ""computer"", ""comput"", ""computers""]"
compute,qwen3-32B vs deepseek-v3-base,0.7500,"[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]","[""compute"", ""computer"", ""comput"", ""compute"", ""computer""]"
compute,qwen3-32B vs gpt-oss-120b,1.0000,"[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]","[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]"
compute,qwen3-32B vs smollm2-135M,0.6000,"[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]","[""compute"", ""computer"", ""comput"", ""computers"", ""compute""]"
compute,gemma-3-1B-pt vs deepseek-v3-base,0.6000,"[""compute"", ""computed"", ""computer"", ""comput"", ""computers""]","[""compute"", ""computer"", ""comput"", ""compute"", ""computer""]"
compute,gemma-3-1B-pt vs gpt-oss-120b,0.8000,"[""compute"", ""computed"", ""computer"", ""comput"", ""computers""]","[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]"
compute,gemma-3-1B-pt vs smollm2-135M,0.8000,"[""compute"", ""computed"", ""computer"", ""comput"", ""computers""]","[""compute"", ""computer"", ""comput"", ""computers"", ""compute""]"
compute,deepseek-v3-base vs gpt-oss-120b,0.7500,"[""compute"", ""computer"", ""comput"", ""compute"", ""computer""]","[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]"
compute,deepseek-v3-base vs smollm2-135M,0.7500,"[""compute"", ""computer"", ""comput"", ""compute"", ""computer""]","[""compute"", ""computer"", ""comput"", ""computers"", ""compute""]"
compute,gpt-oss-120b vs smollm2-135M,0.6000,"[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]","[""compute"", ""computer"", ""comput"", ""computers"", ""compute""]"
computer,llama-3.2-1B vs qwen3-32B,1.0000,"[""computer"", ""compute"", ""computer"", ""computed"", ""comput""]","[""computer"", ""compute"", ""computer"", ""computed"", ""comput""]"
computer,llama-3.2-1B vs gemma-3-1B-pt,0.6000,"[""computer"", ""compute"", ""computer"", ""computed"", ""comput""]","[""computer"", ""computers"", ""compute"", ""computer"", ""computed""]"
computer,llama-3.2-1B vs deepseek-v3-base,0.7500,"[""computer"", ""compute"", ""computer"", ""computed"", ""comput""]","[""computer"", ""compute"", ""computer"", ""comput"", ""compute""]"
computer,llama-3.2-1B vs gpt-oss-120b,1.0000,"[""computer"", ""compute"", ""computer"", ""computed"", ""comput""]","[""computer"", ""compute"", ""computed"", ""computer"", ""comput""]"
computer,llama-3.2-1B vs smollm2-135M,0.6000,"[""computer"", ""compute"", ""computer"", ""computed"", ""comput""]","[""computer"", ""computers"", ""compute"", ""computer"", ""comput""]"
computer,qwen3-32B vs gemma-3-1B-pt,0.6000,"[""computer"", ""compute"", ""computer"", ""computed"", ""comput""]","[""computer"", ""computers"", ""compute"", ""computer"", ""computed""]"
computer,qwen3-32B vs deepseek-v3-base,0.7500,"[""computer"", ""compute"", ""computer"", ""computed"", ""comput""]","[""computer"", ""compute"", ""computer"", ""comput"", ""compute""]"
computer,qwen3-32B vs gpt-oss-120b,1.0000,"[""computer"", ""compute"", ""computer"", ""computed"", ""comput""]","[""computer"", ""compute"", ""computed"", ""computer"", ""comput""]"
computer,qwen3-32B vs smollm2-135M,0.6000,"[""computer"", ""compute"", ""computer"", ""computed"", ""comput""]","[""computer"", ""computers"", ""compute"", ""computer"", ""comput""]"
computer,gemma-3-1B-pt vs deepseek-v3-base,0.4000,"[""computer"", ""computers"", ""compute"", ""computer"", ""computed""]","[""computer"", ""compute"", ""computer"", ""comput"", ""compute""]"
computer,gemma-3-1B-pt vs gpt-oss-120b,0.6000,"[""computer"", ""computers"", ""compute"", ""computer"", ""computed""]","[""computer"", ""compute"", ""computed"", ""computer"", ""comput""]"
computer,gemma-3-1B-pt vs smollm2-135M,0.6000,"[""computer"", ""computers"", ""compute"", ""computer"", ""computed""]","[""computer"", ""computers"", ""compute"", ""computer"", ""comput""]"
computer,deepseek-v3-base vs gpt-oss-120b,0.7500,"[""computer"", ""compute"", ""computer"", ""comput"", ""compute""]","[""computer"", ""compute"", ""computed"", ""computer"", ""comput""]"
computer,deepseek-v3-base vs smollm2-135M,0.7500,"[""computer"", ""compute"", ""computer"", ""comput"", ""compute""]","[""computer"", ""computers"", ""compute"", ""computer"", ""comput""]"
computer,gpt-oss-120b vs smollm2-135M,0.6000,"[""computer"", ""compute"", ""computed"", ""computer"", ""comput""]","[""computer"", ""computers"", ""compute"", ""computer"", ""comput""]"
magnet,llama-3.2-1B vs qwen3-32B,0.6667,"[""mag"", ""magnitude"", ""market"", ""markets"", ""magn""]","[""mag"", ""magnitude"", ""market"", ""markets"", ""mage""]"
magnet,llama-3.2-1B vs gemma-3-1B-pt,0.1250,"[""mag"", ""magnitude"", ""market"", ""markets"", ""magn""]","[""magnet"", ""magnetic"", ""magnet"", ""magn"", ""maine""]"
magnet,llama-3.2-1B vs deepseek-v3-base,0.6667,"[""mag"", ""magnitude"", ""market"", ""markets"", ""magn""]","[""magn"", ""mag"", ""market"", ""markets"", ""mage""]"
magnet,llama-3.2-1B vs gpt-oss-120b,0.4286,"[""mag"", ""magnitude"", ""market"", ""markets"", ""magn""]","[""magn"", ""maine"", ""mag"", ""market"", ""mannen""]"
magnet,llama-3.2-1B vs smollm2-135M,0.6667,"[""mag"", ""magnitude"", ""market"", ""markets"", ""magn""]","[""magnetic"", ""magn"", ""mag"", ""magnitude"", ""market""]"
magnet,qwen3-32B vs gemma-3-1B-pt,0.0000,"[""mag"", ""magnitude"", ""market"", ""markets"", ""mage""]","[""magnet"", ""magnetic"", ""magnet"", ""magn"", ""maine""]"
magnet,qwen3-32B vs deepseek-v3-base,0.6667,"[""mag"", ""magnitude"", ""market"", ""markets"", ""mage""]","[""magn"", ""mag"", ""market"", ""markets"", ""mage""]"
magnet,qwen3-32B vs gpt-oss-120b,0.2500,"[""mag"", ""magnitude"", ""market"", ""markets"", ""mage""]","[""magn"", ""maine"", ""mag"", ""market"", ""mannen""]"
magnet,qwen3-32B vs smollm2-135M,0.4286,"[""mag"", ""magnitude"", ""market"", ""markets"", ""mage""]","[""magnetic"", ""magn"", ""mag"", ""magnitude"", ""market""]"
magnet,gemma-3-1B-pt vs deepseek-v3-base,0.1250,"[""magnet"", ""magnetic"", ""magnet"", ""magn"", ""maine""]","[""magn"", ""mag"", ""market"", ""markets"", ""mage""]"
magnet,gemma-3-1B-pt vs gpt-oss-120b,0.2857,"[""magnet"", ""magnetic"", ""magnet"", ""magn"", ""maine""]","[""magn"", ""maine"", ""mag"", ""market"", ""mannen""]"
magnet,gemma-3-1B-pt vs smollm2-135M,0.2857,"[""magnet"", ""magnetic"", ""magnet"", ""magn"", ""maine""]","[""magnetic"", ""magn"", ""mag"", ""magnitude"", ""market""]"
magnet,deepseek-v3-base vs gpt-oss-120b,0.4286,"[""magn"", ""mag"", ""market"", ""markets"", ""mage""]","[""magn"", ""maine"", ""mag"", ""market"", ""mannen""]"
magnet,deepseek-v3-base vs smollm2-135M,0.4286,"[""magn"", ""mag"", ""market"", ""markets"", ""mage""]","[""magnetic"", ""magn"", ""mag"", ""magnitude"", ""market""]"
magnet,gpt-oss-120b vs smollm2-135M,0.4286,"[""magn"", ""maine"", ""mag"", ""market"", ""mannen""]","[""magnetic"", ""magn"", ""mag"", ""magnitude"", ""market""]"
nation,llama-3.2-1B vs qwen3-32B,0.6667,"[""nation"", ""national"", ""lation"", ""vation"", ""ration""]","[""nation"", ""national"", ""vation"", ""lation"", ""cation""]"
nation,llama-3.2-1B vs gemma-3-1B-pt,0.6667,"[""nation"", ""national"", ""lation"", ""vation"", ""ration""]","[""nation"", ""national"", ""mation"", ""ration"", ""vation""]"
nation,llama-3.2-1B vs deepseek-v3-base,0.6667,"[""nation"", ""national"", ""lation"", ""vation"", ""ration""]","[""nation"", ""national"", ""lation"", ""ration"", ""iation""]"
nation,llama-3.2-1B vs gpt-oss-120b,0.4286,"[""nation"", ""national"", ""lation"", ""vation"", ""ration""]","[""nation"", ""national"", ""ration"", ""uation"", ""iation""]"
nation,llama-3.2-1B vs smollm2-135M,0.4286,"[""nation"", ""national"", ""lation"", ""vation"", ""ration""]","[""nation"", ""national"", ""ration"", ""iation"", ""cation""]"
nation,qwen3-32B vs gemma-3-1B-pt,0.4286,"[""nation"", ""national"", ""vation"", ""lation"", ""cation""]","[""nation"", ""national"", ""mation"", ""ration"", ""vation""]"
nation,qwen3-32B vs deepseek-v3-base,0.4286,"[""nation"", ""national"", ""vation"", ""lation"", ""cation""]","[""nation"", ""national"", ""lation"", ""ration"", ""iation""]"
nation,qwen3-32B vs gpt-oss-120b,0.2500,"[""nation"", ""national"", ""vation"", ""lation"", ""cation""]","[""nation"", ""national"", ""ration"", ""uation"", ""iation""]"
nation,qwen3-32B vs smollm2-135M,0.4286,"[""nation"", ""national"", ""vation"", ""lation"", ""cation""]","[""nation"", ""national"", ""ration"", ""iation"", ""cation""]"
nation,gemma-3-1B-pt vs deepseek-v3-base,0.4286,"[""nation"", ""national"", ""mation"", ""ration"", ""vation""]","[""nation"", ""national"", ""lation"", ""ration"", ""iation""]"
nation,gemma-3-1B-pt vs gpt-oss-120b,0.4286,"[""nation"", ""national"", ""mation"", ""ration"", ""vation""]","[""nation"", ""national"", ""ration"", ""uation"", ""iation""]"
nation,gemma-3-1B-pt vs smollm2-135M,0.4286,"[""nation"", ""national"", ""mation"", ""ration"", ""vation""]","[""nation"", ""national"", ""ration"", ""iation"", ""cation""]"
nation,deepseek-v3-base vs gpt-oss-120b,0.6667,"[""nation"", ""national"", ""lation"", ""ration"", ""iation""]","[""nation"", ""national"", ""ration"", ""uation"", ""iation""]"
nation,deepseek-v3-base vs smollm2-135M,0.6667,"[""nation"", ""national"", ""lation"", ""ration"", ""iation""]","[""nation"", ""national"", ""ration"", ""iation"", ""cation""]"
nation,gpt-oss-120b vs smollm2-135M,0.6667,"[""nation"", ""national"", ""ration"", ""uation"", ""iation""]","[""nation"", ""national"", ""ration"", ""iation"", ""cation""]"
creation,llama-3.2-1B vs qwen3-32B,0.3333,"[""creation"", ""creation"", ""creat"", ""citation"", ""ertation""]","[""creation"", ""creation"", ""creat"", ""irection"", ""cription""]"
creation,llama-3.2-1B vs gemma-3-1B-pt,0.3333,"[""creation"", ""creation"", ""creat"", ""citation"", ""ertation""]","[""creation"", ""creational"", ""creation"", ""creatic"", ""creat""]"
creation,llama-3.2-1B vs deepseek-v3-base,0.1429,"[""creation"", ""creation"", ""creat"", ""citation"", ""ertation""]","[""creation"", ""creational"", ""creation"", ""culation"", ""creative""]"
creation,llama-3.2-1B vs gpt-oss-120b,0.1429,"[""creation"", ""creation"", ""creat"", ""citation"", ""ertation""]","[""creation"", ""creation"", ""ervation"", ""cryption"", ""cription""]"
creation,llama-3.2-1B vs smollm2-135M,0.3333,"[""creation"", ""creation"", ""creat"", ""citation"", ""ertation""]","[""creation"", ""creation"", ""creat"", ""cription"", ""irection""]"
creation,qwen3-32B vs gemma-3-1B-pt,0.3333,"[""creation"", ""creation"", ""creat"", ""irection"", ""cription""]","[""creation"", ""creational"", ""creation"", ""creatic"", ""creat""]"
creation,qwen3-32B vs deepseek-v3-base,0.1429,"[""creation"", ""creation"", ""creat"", ""irection"", ""cription""]","[""creation"", ""creational"", ""creation"", ""culation"", ""creative""]"
creation,qwen3-32B vs gpt-oss-120b,0.3333,"[""creation"", ""creation"", ""creat"", ""irection"", ""cription""]","[""creation"", ""creation"", ""ervation"", ""cryption"", ""cription""]"
creation,qwen3-32B vs smollm2-135M,1.0000,"[""creation"", ""creation"", ""creat"", ""irection"", ""cription""]","[""creation"", ""creation"", ""creat"", ""cription"", ""irection""]"
creation,gemma-3-1B-pt vs deepseek-v3-base,0.3333,"[""creation"", ""creational"", ""creation"", ""creatic"", ""creat""]","[""creation"", ""creational"", ""creation"", ""culation"", ""creative""]"
creation,gemma-3-1B-pt vs gpt-oss-120b,0.1429,"[""creation"", ""creational"", ""creation"", ""creatic"", ""creat""]","[""creation"", ""creation"", ""ervation"", ""cryption"", ""cription""]"
creation,gemma-3-1B-pt vs smollm2-135M,0.3333,"[""creation"", ""creational"", ""creation"", ""creatic"", ""creat""]","[""creation"", ""creation"", ""creat"", ""cription"", ""irection""]"
creation,deepseek-v3-base vs gpt-oss-120b,0.1429,"[""creation"", ""creational"", ""creation"", ""culation"", ""creative""]","[""creation"", ""creation"", ""ervation"", ""cryption"", ""cription""]"
creation,deepseek-v3-base vs smollm2-135M,0.1429,"[""creation"", ""creational"", ""creation"", ""culation"", ""creative""]","[""creation"", ""creation"", ""creat"", ""cription"", ""irection""]"
creation,gpt-oss-120b vs smollm2-135M,0.3333,"[""creation"", ""creation"", ""ervation"", ""cryption"", ""cription""]","[""creation"", ""creation"", ""creat"", ""cription"", ""irection""]"
import,llama-3.2-1B vs qwen3-32B,1.0000,"[""import"", ""importe"", ""imports"", ""import"", ""important""]","[""import"", ""imports"", ""importe"", ""import"", ""important""]"
import,llama-3.2-1B vs gemma-3-1B-pt,0.6000,"[""import"", ""importe"", ""imports"", ""import"", ""important""]","[""import"", ""importe"", ""imports"", ""imported"", ""import""]"
import,llama-3.2-1B vs deepseek-v3-base,0.3333,"[""import"", ""importe"", ""imports"", ""import"", ""important""]","[""import"", ""import"", ""important"", ""importance"", ""empor""]"
import,llama-3.2-1B vs gpt-oss-120b,1.0000,"[""import"", ""importe"", ""imports"", ""import"", ""important""]","[""import"", ""importe"", ""imports"", ""import"", ""important""]"
import,llama-3.2-1B vs smollm2-135M,0.3333,"[""import"", ""importe"", ""imports"", ""import"", ""important""]","[""import"", ""import"", ""important"", ""empor"", ""imp""]"
import,qwen3-32B vs gemma-3-1B-pt,0.6000,"[""import"", ""imports"", ""importe"", ""import"", ""important""]","[""import"", ""importe"", ""imports"", ""imported"", ""import""]"
import,qwen3-32B vs deepseek-v3-base,0.3333,"[""import"", ""imports"", ""importe"", ""import"", ""important""]","[""import"", ""import"", ""important"", ""importance"", ""empor""]"
import,qwen3-32B vs gpt-oss-120b,1.0000,"[""import"", ""imports"", ""importe"", ""import"", ""important""]","[""import"", ""importe"", ""imports"", ""import"", ""important""]"
import,qwen3-32B vs smollm2-135M,0.3333,"[""import"", ""imports"", ""importe"", ""import"", ""important""]","[""import"", ""import"", ""important"", ""empor"", ""imp""]"
import,gemma-3-1B-pt vs deepseek-v3-base,0.1429,"[""import"", ""importe"", ""imports"", ""imported"", ""import""]","[""import"", ""import"", ""important"", ""importance"", ""empor""]"
import,gemma-3-1B-pt vs gpt-oss-120b,0.6000,"[""import"", ""importe"", ""imports"", ""imported"", ""import""]","[""import"", ""importe"", ""imports"", ""import"", ""important""]"
import,gemma-3-1B-pt vs smollm2-135M,0.1429,"[""import"", ""importe"", ""imports"", ""imported"", ""import""]","[""import"", ""import"", ""important"", ""empor"", ""imp""]"
import,deepseek-v3-base vs gpt-oss-120b,0.3333,"[""import"", ""import"", ""important"", ""importance"", ""empor""]","[""import"", ""importe"", ""imports"", ""import"", ""important""]"
import,deepseek-v3-base vs smollm2-135M,0.6000,"[""import"", ""import"", ""important"", ""importance"", ""empor""]","[""import"", ""import"", ""important"", ""empor"", ""imp""]"
import,gpt-oss-120b vs smollm2-135M,0.3333,"[""import"", ""importe"", ""imports"", ""import"", ""important""]","[""import"", ""import"", ""important"", ""empor"", ""imp""]"
